Date,,Home/Away,Opp,PAs,Stadium,non-HR in at least 1,HR/30,Distance,Result,HR at Yankee,HR at Opp
Mar 28,NYY,away,HOU,5,Minute Maid Park,0,n/a,n/a,n/a,n/a,n/a
Mar 29,NYY,away,HOU,5,Minute Maid Park,0,n/a,n/a,n/a,n/a,n/a
Mar 30,NYY,away,HOU,4,Minute Maid Park,0,n/a,n/a,n/a,n/a,n/a
Mar 31,NYY,away,HOU,5,Minute Maid Park,0,n/a,n/a,n/a,n/a,n/a
Apr 1,NYY,away,ARI,5,Chase Field,0,n/a,n/a,n/a,n/a,n/a
Apr 2,NYY,away,ARI,4,Chase Field,0,n/a,n/a,n/a,n/a,n/a
Apr 3,NYY,away,ARI,5,Chase Field,0,n/a,n/a,n/a,n/a,n/a
Apr 5,NYY,home,TOR,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Apr 6,NYY,home,TOR,5,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Apr 7,NYY,home,TOR,5,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Apr 8,NYY,home,MIA,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Apr 9,NYY,home,MIA,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Apr 10,NYY,home,MIA,5,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Apr 13,NYY,away,CLE,5,Progressive Field,1,2,333,2B,no,no
Apr 13,NYY,away,CLE,5,Progressive Field,0,n/a,n/a,n/a,n/a,n/a
Apr 14,NYY,away,CLE,5,Progressive Field,0,n/a,n/a,n/a,n/a,n/a
Apr 15,NYY,away,TOR,4,Rogers Centre,0,n/a,n/a,n/a,n/a,n/a
Apr 16,NYY,away,TOR,4,Rogers Centre,0,n/a,n/a,n/a,n/a,n/a
Apr 17,NYY,away,TOR,5,Rogers Centre,0,n/a,n/a,n/a,n/a,n/a
Apr 19,NYY,home,TBR,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Apr 20,NYY,home,TBR,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Apr 21,NYY,home,TBR,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Apr 22,NYY,home,OAK,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Apr 23,NYY,home,OAK,4,Yankee Stadium,1,2,393,F8,no,no
Apr 24,NYY,home,OAK,5,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Apr 25,NYY,home,OAK,5,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
Apr 26,NYY,away,MIL,5,American Family Field,0,n/a,n/a,n/a,n/a,n/a
Apr 27,NYY,away,MIL,5,American Family Field,0,n/a,n/a,n/a,n/a,n/a
Apr 28,NYY,away,MIL,5,American Family Field,0,n/a,n/a,n/a,n/a,n/a
Apr 29,NYY,away,BAL,4,Camden Yards,0,n/a,n/a,n/a,n/a,n/a
Apr 30,NYY,away,BAL,4,Camden Yards,0,n/a,n/a,n/a,n/a,n/a
May 1,NYY,away,BAL,4,Camden Yards,0,n/a,n/a,n/a,n/a,n/a
May 2,NYY,away,BAL,4,Camden Yards,0,n/a,n/a,n/a,n/a,n/a
May 3,NYY,home,DET,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
May 4,NYY,home,DET,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
May 5,NYY,home,DET,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
May 7,NYY,home,HOU,5,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
May 8,NYY,home,HOU,5,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
May 9,NYY,home,HOU,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
May 10,NYY,away,TBR,4,Tropicana Field,1,21,407,F8,yes,no
May 11,NYY,away,TBR,4,Tropicana Field,0,n/a,n/a,n/a,n/a,n/a
May 12,NYY,away,TBR,5,Tropicana Field,1,10,390,F8,yes,no
May 14,NYY,away,MIN,5,Target Field,0,n/a,n/a,n/a,n/a,n/a
May 15,NYY,away,MIN,5,Target Field,1,4,389,2B,no,no
May 16,NYY,away,MIN,4,Target Field,1,18,409,F8,no,no
May 16,NYY,away,MIN,0,Target Field,1,18,412,2B,no,no
May 17,NYY,home,CHW,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
May 18,NYY,home,CHW,5,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
May 19,NYY,home,CHW,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
May 20,NYY,home,SEA,5,Yankee Stadium,1,8,403,2B,no,no
May 21,NYY,home,SEA,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
May 22,NYY,home,SEA,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
May 23,NYY,home,SEA,4,Yankee Stadium,0,n/a,n/a,n/a,n/a,n/a
May 24,NYY,away,SDP,5,Petco Park,0,n/a,n/a,n/a,n/a,n/a
May 25,NYY,away,SDP,4,Petco Park,0,n/a,n/a,n/a,n/a,n/a
May 26,NYY,away,SDP,4,Petco Park,0,n/a,n/a,n/a,n/a,n/a
